,Unnamed: 0,Unnamed: 0.1,Pr,Issue,Consumer complaint narrative,Company,State,sentimentValue
0,0,0,Consumer Loan,Taking out the loan or lease,Capitol One 360 keeps changing what I owe on my loan and they also changed my mailing address on there website. They changed it to a P.O. box I know longer use and I never even told them I had it. It shows on my credit report that I have on and thats it. Im still at the same address as the one from when I purchased the vehicle so its a little scary that my address just changes like that. The credit bureaus are reporting a different amount than I owe and Im getting notices that my car loan increased.,Capital One,OH,-0.171875
8,8,8,Credit card,Other,"Received Capital One charge card offer XXXX. Applied, was accepted ( {$500.00} limit ), activated card and used for XXXX presents. Charge card # XXXX. Right after activating card ... Capital One sent me another card with same {$500.00} limit ... never activated ... never used that card. First bill from above card # came due XXXX and minimum payment due was {$15.00}. I sent in {$20.00} via USPMO and sent in before due date. With the XXXX non-activated, non used credit card ... ..they also sent me bill for some yearly fees when never even activated the card. So called them up ... ... .told them did not want the card and sent back to them. Well ... .get my next bill from the card # above ( XXXX ) ... .they did not credit me for the {$20.00} payment and charged me outrageous over the limit fees, late fees, etc ... and now {$70.00} payment due. So, I called up, their rep stated they accidentally applied my {$20.00} payment to wrong account number and would be corrected. So, I sent in a {$70.00} payment via USPMO along with note to make sure account corrected and both payments applied to correct account number ( minimum due and wanted to keep that card and also repair my credit from bankruptcy in XXXX or XXXX. ) So ... XXXX bill came in the mail ... .and once again ... ..they did not apply my payment of {$70.00}, nor the previous payment of {$20.00} ... .which they stated they would correct. They charged me more outrageous over the limit fees, late fees, etc, along with some stupid note about "" spreading yourself too thin. '' I thought wow ... .this is total bs ... ..so I called numerous times, wrote numerous times ... with no success of them correcting my account, when they acknowledged their mistake ( s ) ... ... then they wanted {$120.00} for minimum payment ... .I thought this is totally illegal. Sent my payments in on time and sent in more than minimum to even begin with. Kept calling and writing, with no resolution like they stated. I totally quit paying at that point ... Did not know what else to do at that time. Sometime around end of XXXX started getting threatening phone calls from some collection agency ... ... I mean really threatening. Like about every other day. Well, I ended up extremely ill, in and out of hospitals around that time, doctors, more hospitals, XXXX, XXXX, XXXX ... ..etc ... ..ended up in XXXX and XXXX entire summer, due to XXXX, XXXX ( XXXX at time ) XXXX ... XXXX, XXXX, and more ( Have all the records. ) Anyway ... come XXXX or XXXX, XXXX, XXXX, XXXX put a freeze on my bank account. ( currently XXXX XXXX ... Never knew took me to court & did an illegal Judgement. Called Capital One ... they new NOTHING ... Called XXXX etc..asked for verification XXXX XXXX ), etc..of my account, payments, court order, etc. Did receive back some info of my account. It clearly shows that they put my more than minimum payments onto a totally different account ... ..I now have the proof, of their illegal practices regarding Capital One and XXXX, XXXX and XXXX. I also have my stubs from my payments sent to them via USPMO for further proof. Now, just recently I have been calls at my home from unknown number stating to call XXXX stating something to the effect of ( my name ) and "" property at ( my home ) address '' being sent from the clerks office. My Mother, who is owner of this home, has also been getting such calls and days in row ... regarding me and the "" property at ( my home address. ) and clerk of court. Now she is the owner of this home which we rent ... and her property has nothing to do with my Capital One account which they totally illegally screwed me on..along with XXXX, XXXX XXXX XXXX illegal collection practices. So, I did look on website, and the Attorney for XXXX, XXXX, XXXX did do a Judgement renewal previous to us getting these harassing, threatening, illegal calls. Need help here. 
",Capital One,OH,-0.101828803912
23,23,23,Credit card,Late fee,"XXXX Card services was bought out by Capital One, I was never notified, my payments continued to go to XXXX, Capital One can not locate my payments, I have been charged numerous late fees d/t payments not getting to Capital One, my due date changed as well, Capital One has reported a XXXX late pay on my credit, I have contacted customer service and spoke to managers several times and they will not correct matter in the time frame I need to buy a home, I am being told it may be XXXX days before this is corrected. My statements clearly show my account current until Capital One took over in XXXX 2013. Even though I am being charged late fees, my payments were still made monthly and on time, my due date changed from the XXXX of the month to the XXXX. 
",Capital One,MI,-0.116666666667
68,68,68,Bank account or service,"Account opening, closing, or management","This is a concern with companies in general. The retention of personal information i.e. email, phone number, address, and social security number even after business with a company is no longer prevalent. Specifically, Capitol One 360 has said information and according to their policy they can not delete the it. In light of recent hacks to many consumer 's financial information I am concerned about having that on file from a company which I no longer conduct any business. They may notify me after the fact of any breach, however, what is a person to do if their information especially Social Security number is compromised. It would be proactive to not have that information available in the first place, especially when all accounts are closed. Lastly why do they need to keep this information? With several companies, XXXX and XXXX in particular, data mining people 's information only to be sold to advertisers and whomever else for profit, I can only speculate as to what these financial institutions are doing with this information. I write asking for a proposal for legislative change that gives the consumer power to redact and delete their details from companies when they choose to no longer conduct any business with them. In the mean time are there any other means a consumer can use to achieve this? It appears we 're all at the mercy of the company 's policy. 
",Capital One,CA,0.0664583333333
73,73,73,Credit card,Closing/Cancelling account,"On XXXX XXXX, 2015, I had made a deposit of {$55.00} at the Capital One Bank in XXXX, Md to my credit card ending in XXXX. When I returned home to check my account, my online account was restricted. I had called Capital One and they requested for me to go to the branch Capital One bank to verify my identity. I went to the bank XXXX mins after the call and done what was requested. Prior before leaving I was told that my account will be back up and running and to not worry about anything. I have repeatedly call for XXXX weeks asking what has happened to my account for them to close it. I have talked to the Capital One Fraud Supervisor who could not tell me why they close my account. They have sent me no notice of intent to close, fraud or anything of that nature. Nobody can give me an answer of why my account is restricted. It is fishy to me that my account went closed after I made a cash deposit in the bank. I am applying for mortgage next month and due to my account being restricted or closed, I can not pay down my balance to lower my utilization rate. The Fraud Supervisor told me I could still make payments but when I went to pay down on it the branch tellers told me I could n't because the account was closed due to Fraud. I am worried about my credit score and can not get any answers from no Supervisors of Capital One. All they keep saying is my account is under investigation for Fraud but they have found no Fraud on my end. So I keep asking why do my credit score has to suffer because of something they are messing up on. They can not give me a clear answer. 
",Capital One,MD,-0.0691919191919
164,164,164,Credit card,APR or interest rate,"In my XXXX communication with Kohl 's I had requested a lower APR and their response was i could n't get one based on their terms. Their terms do allow for a lower rate. In my XXXX communication I tried to confirm their ability to offer a lower rate and was told I did not qualify. 
",Capital One,PA,0.0
311,311,311,Mortgage,"Loan servicing, payments, escrow account","I obtained a payoff amount by phone on XXXX/XXXX/XXXX @ XXXX which was higher than the payoff amount that was calculated. They could not explain the difference. Coincidently the difference is the same amount that I had disputed earlier and had been resolved in my favor. I paid off the amount due as stated on the loan statement and disputed the difference. They have continued to add interest and late payment charges on this disputed amount and after numerous letters and forwarding them all of my cancelled checks for XXXX, XXXX and XXXX and including a spread sheet that shows the balance going down after the resolution in my favor on the unsubstantiated charges and then jumping back up by the same amount just a couple of months later.I have been mailing, phoning and even went to the bank to get an explanation. After almost a full year the only response I have received is "" It does n't look right. I will check into it '' from the local branch manager and XXXX letter in XXXX saying they were looking into it. There has still been no attempt to justify the charges. 
They have made repeated charges for which they could make no justification since taking over this account from XXXX XXXX. In XXXX they charged late fees when I had cancelled checks showing that I had paid on time. They initially claimed XXXX late payment back years before they took over which I paid, Than they mysteriously found more late payments from when XXXX had the account that XXXX never made reference too and tried to claim them. When I threatened to report this to the banking authorities they resolved the amount in my favor. A couple of months later the same charges re-appeared and again I could obtain no valid explanation. 
",Capital One,LA,-0.00431096681097
324,324,324,Credit card,Customer service / Customer relations,"I have XXXX credit cards with Capital One. I had some financial difficulties and got a couple of months behind on all XXXX cards. 
I called Capital One to make arrangements on XXXX of the cards to pay {$60.00} over XXXX months to get caught up and gave them my bank account info to take the money out automatically. 
XXXX the other XXXX cards, I was able to pay them off in full. I called in to Capital One and made the payments over the phone. 
A few days later, I went online to check that the accounts reflected the new balance and found that each XXXX had a note that say the accounts had been suspended. 
I called in to Capital One to ask what this meant and they said that I could no longer use the accounts but they would remain open and I would still get a yearly charge for them but I could not use them again. 
They did not inform me when they took my money, nearly {$1000.00}, that I would not be able to use the cards anymore. 
Also, when I checked my credit, they reported me for being 120 days late which I was not, and never updated my balances to zero. They are still reporting the old balances. 
",Capital One,TX,0.0508741258741
426,426,426,Credit card,Credit line increase/decrease,"I recently sent an online secure message to Capital One asking if they can lower the interest rate on a XXXX because they approved another XXXX with a much lower interest rate. I also inquired why they gave me such a low credit limit, considering they approved me for a new XXXX with a low interest rate and high credit limit. They refuse to respond in writing, and only respond via online secure messaging trying to get me to call in. I asked for the matter to be escalated to the corporate office for written response, and instead, someone left a voicemail message. I am NOT calling them back. I have the legal right to insist all communications with banks and credit card companies be in writing via online secure messaging. So then, I went online to activate the new XXXX card, and they 've blocked it, as I 've received an account restricted message. I 've already warned them that I would file a CFPB complaint if they continue to fail to respond in writing, but now that they 've restricted my new XXXX account, I 'm filing this complaint, as clearly, that is an act of retaliation. If CFPB fails to appropriately address this matter, and instead, simply sends me Capital One 's response, then considers the matter closed, I will report this to my Congressman, as well as post it on the Internet, as clearly, that indicates CFPB is just a "" dummy '' agency created for the sole purpose of keeping the OCC from having to handle consumer complaints. 
",Capital One,WA,0.0519573283859
473,473,473,Credit card,Payoff process,"I have an XXXX FICO score, XXXX in available credit, and & lt ; {$2000.00} in debt in any given month. 
Today I received an email from Capital One inviting me to do a balance transfer, that appears to be in violation of the Credit Reform Law. 
A section of the email stated : '' If you pay your balance in full each month, you do not pay interest on your purchases. Please note, after you accept this offer, you will begin paying interest on all new purchases, even if you pay your purchase balance in full each month. To avoid paying interest on new purchases, you must pay your total balance in full ( including balances from this offer ) by the due date each month. "". 

This appears to be in violation of the law that states that payments shall be applied to highest interest debt first. 
",Capital One,CO,0.205303030303
483,483,483,Consumer Loan,Managing the loan or lease,"Car Dealer persuaded me to take a loan with Capital One Auto Finance for a lower rate. I received information in the mail, but have been unable to pay the bill. There online bill payment says that I am locked out. My wife and I have spent over XXXX hours attempting to resolve this on their web site and on the phone with their customer service. We have reset passwords and we are not able to pay our bill. This has been going on for a week. It is not reasonable for a loan company to make it so difficult to pay the bill. I have been trying to pay the bill early. Imagine the people who wait and try to pay the bill at the last minute. The company has limited hours to help with these problems. Their web sit does not allow you to reset a pin ( if the web site did work which it does not ). When you contact their service representative, he is insulting and unhelpful. He implies it is your fault for not being able to use their system properly. Capital One sends information about how easy it is to pay your bill, but their system is not usable. There is no way to pay your bill. I have just now received a letter from them that we can pay be online, by phone, and by mail. I was told by the customer service rep that I could not pay by phone until the system was set up. It looks like I am suppose to pay by mail as my only option. I do not have any confidence that they will correctly process my mail payment. So I guess I need to use certified mail which adds expense that exceeds the amount of money that I was suppose to save using their loan. I can not express to you how strongly I feel that this is an unethical company. 
",Capital One,GA,-0.0753401360544
504,504,504,Credit card,Other,"I have reached out to this company on numerous occassions, stating that this account does not belong to me and would like them to prove signed documentation or copy of my photo ID. 
",Capital One,CT,0.0
512,512,512,Credit card,Closing/Cancelling account,"I have XXXX credit card accounts with capital one. Earlier this year my husband and I were really struggling due to lose of income. Along with the stress of low income i had a sister sick with XXXX, a mother suffering with what could posablly be XXXX, and a mother in law who is both physicaly and mentally XXXX who also lived XXXX to XXXX hours away depending on traffic who needs us up there quite often not to mention my husbands an only child. I also work full time in a very demanding job with an equally demanding boss so between my streeful job and personnel life i was finding it difficult to keep up and remember absolutely everything and knowing at the time I was only able to afford to make the minimum payment on both credit card accounts i took the initiative to call capital one and set it up to were they just automatically took out the minimum due out each month on the credit cards until I could afford to do otherwise. A few months later I reseved a letter in the mail from capital one stating that I had not paid on my accounts in months and they were about to close me out. In shock and upset I called capital one only to find out that they had already closed out both of my accounts. I tried to explain to them that I had spoken to XXXX of there represenitives and had my payments set up to be automatically taken out of my bank account each month that there must have been a horable mistake made all I got from them was my accounts have been closed out and that there was Absolutely nothing they or I could do to reopen them and nothing they could do to help me. Devistated and in tears I tried to look online for other capital one departments to call for some help with my situation but no matter what department I tried to call it always just took me back to the original department that I first talk to who refused to help me. At this point in time I have paid XXXX account off in full and current stuck making payments to an account that I ca n't no longer use and my credit score that I have worked so hard to rebuild has been greatly effected all because capital one a company who I have been a loyal customer and until this payment arrangement screw up I have always paid on time to on both credit card accounts since I got them 2 years ago refused to help or even hear me out. I will take fault in the fact that I should have paid better attention to my bank statements and made sure the money was being taken out as arranged but I do n't feel that I deserve to have both of my accounts closed out and my credit that I was working so hard to rebuild ruined over an unfortunate misunderstanding. I was n't even given the chance to plead my case even though it was there company 's screw up and did n't follow threw with our payment arrangement. I would like to have the chance to be heard and have the possibility of having my accounts reopend and to not have all my hard work be for nothing I think that 's the part that bothers me the most. At this point I feel hopeless that I will get any cooperation from capital one and pray that you can help me. 
",Capital One,MD,0.0457850707851
527,527,527,Credit card,Closing/Cancelling account,"Arrived at XXXX XXXX from XXXX for a 4 day vacation on XXXX XXXX. The following day, XXXX XXXX, went to XXXX and when I attempted to pay with my Capital One Card, it was declined. I immediately called customer service and spoke with FRaud Supervisor XXXX who required I provide him with the place where my social security was issued and my driver 's license number. He informed me he would reactiviate my account. The reason the purchase in XXXX was declined was because I made a purchase in XXXX and now in XXXX. Later that same day another purchase was declined and when I called, I was told my card was compromised and nothing could be done until Monday to reactivate the card even though the questionable attempts to use the card were the only ones documented by me. Even though I informed XXXX and later XXXX that I will be forced to sleep in my car and cancel my vacation without the use of this card, they said nothing can be done until MOnday when management is present. 
",Capital One,FL,-0.0851851851852
590,590,590,Debt collection,Taking/threatening an illegal action,"THIS COMPANY ILLEGALLY TOOK WAGE GARNISHMENTS FROM ME. I WAS GIVEN A CREDIT CARD WORTH 10,000DOLLARS AND I ONLY USED 2000DOLLARS. HOWEVER THIS COLLECTION AGENCY SUED ME FOR THE VALUE OF THE CARD AND A ADDITIONAL XXXXDOLLARS A TOTAL OF XXXXDOLLARS. I NEED YOUR HELP BECAUSE THEY LIED ABOUT THE DEBT. I NEVER USED THAT MUCH MONEY AND WHEN I TRIED TO TELL THEM THAT THEY DID NOT CARE I AM MAILING YOU ALL OF THE PROOF AND ALL OF THE LETTERS I WROTE TO FIND HELP NOBODY HELPED ME AND I AM POOR. I COULD BARLEY FEED MY FAMILY AND THEY HAVE RUINED MY CREDIT AND HAVE CAUSE ME SUCH GREAT XXXX OVER THE YEARS. I AM TIRED OF THESE PEOPLE STEALING MY LITTLE BIT OF MONEY PLEASE HELP THANK YOU SO MUCH 
",Capital One,NY,0.00113636363636
616,616,616,Credit card,Closing/Cancelling account,"On XXXX XXXX, 2015 a cease and desist demand was sent ( certified mail with return receipt XXXX XXXX XXXX XXXX XXXX ) to Capital One in reference to consumers account ( s ) ending in XXXX & XXXX. Consumer specified consumers wish to have the accounts closed and noted as 'Accounts closed by consumer ' on consumers credit report. Consumer warned Capital One that consumer would check on consumers report within thirty ( 30 ) days from the date of notice to make sure Capital One had honored consumers request. Consumer received letters from Capital One dated XXXX XXXX, 2015 stating Capital One had applied a 'Cease & Desist ' to the account ( s ) which meant they would no longer contact consumer and stated that the cease & desist does not impact any payment plans, arrangements previously arranged with Capital One which leads the consumer to believe the account ( s ) have not been closed and noted as requested by consumer. Consumer requested knowledge that the accounts reflect closed by consumer under the Fair Credit Reporting Act ( "" FCRA '' ) 15. U.S.C. Sections 1681u - 1681v. Consumer informed ( and warned ) Capital One that if they did not comply consumer would file a formal complaint with the Consumer Financial Protection Bureau ( CFPB ) and ask complaint be forwarded to governing entities. A copy of the cease & desist document is attached to this complaint as proof positive request to Capital One and warning of consumer 's intent if Capital One did not honor consumers request under the Fair Credit Reporting Act ( "" FCRA '' ). At this time Capital One is in violation of the Fair Credit Reporting Act ( 15 U.S.C. 1681-1681u ( "" FCRA '' ) by misuse and misreporting the credit information provided by the consumer. Capital One furnishes information to consumer reporting agencies and is subject to Section 623 of the FCRA 15 U.S.C. Section 1681 s-2 which imposes a series of duties and prohibitions upon any person or entity that furnishes information to a consumer reporting agency. Reporting accounts as active when voluntarily closed by consumer and misstating the balance due is a violation of the FCRA. Consumer has the right to request consumer 's account reflect consumers wish to close the account by consumer on credit report. Capital One was told ( in writing ) that consumer intended to file a federal lawsuit if ANY negative information is placed on consumers credit report other than 'Account closed by Consumer '. 
",Capital One,NE,0.0271054702873
641,641,641,Debt collection,Cont'd attempts collect debt not owed,"This debt was thrown out of court, XXXX had this debt for XXXX credit cards and what they did was combined the XXXX together and brought me to court. Judge threw out the case due to improper documents, the bottom line was i had XXXX insurance on this debt and the debtor being chase visa household financial did n't honor my XXXX insurance after i gave them all the documents required they sold debt to XXXX when the credit card company should have honored my XXXX that shown documents that i paid {$4.00} a month foe insurance on XXXX them accounts. So XXXX had XXXX debts sold to them and they combined together in court was dismissed but XXXX still shows XXXX of the XXXX debts 
",Capital One,NH,-0.0625
706,706,706,Credit card,Other,"Reporting a account they can not verify. I found a Charge offs on my Credit report form Capital One. I disputed it with the CRA it came back verified. I tcalled Capital One about this and spoke to XXXX XXXX, informed me that Capital One has the wrong information on this account and it is reporting under my name. How did they investigate this account with out any documentation about me? I contacted them and their rep told me about and they could not validate the debt due to the account not having the right information on file. This is a violation of the FCRA and the trade line needs to be removed ASAP. 
",Capital One,FL,-0.0848214285714
763,763,763,Consumer Loan,Managing the loan or lease,"Capital One Auto Finance refuses to remove credit history of an old account paid in 2011. After several Good Will Letters explaining what caused the late payments and the current need to have it removed. They have denied my request several times. 
Also after sending all pertinent information of where to send response they sent to an old address listed in 2011 which shows they did not even read my request showing all updated information. 
Please help. My wife and I are currently XXXX and need to buy a home with my son and his wife so that they can help take care of our XXXX needs. 
",Capital One,NJ,0.075
806,806,806,Debt collection,Cont'd attempts collect debt not owed,"THATS IT IM ABOUT TO LOOSE IT. I HAVE SENT THIS COMPANY A LETTER TOO STATING THAT THE INFORMATION THEY HAVE IS NOT RIGHT AND THEYS NEED TO STOP CALLING AND REPORTING THIS XXXX ON MY REPORT. I CANT HAVE THIS. 
",Capital One,TX,-0.10989010989
